Query,Iteración,tiempoSD ,tiempoCD ,energySD ,energyCD,Total database accesses (SD),Total allocated memory (SD),Total database accesses (CD),Total allocated memory (CD)
1,1,105.423,131.854,99.0684,96.0624,33429362,25595079,21118746,30500513
1,2,91.955,64.592,87.7649,66.2165,34521938,22830234,26330687,30192464
1,3,91.068,58.866,89.0866,54.7327,37433397,27678109,29456365,33271823
1,4,91.124,52.456,91.5068,46.4249,35509757,27504722,28354499,34139728
1,5,91.699,51.003,91.0743,44.7306,36786831,26712059,30457770,35977382
1,6,91.885,51.245,93.1385,45.318,36183465,25753414,28855834,33255197
1,7,91.796,51.242,90.8309,44.8553,34049487,28610132,25414097,36240910
1,8,94.29,51.516,92.1253,47.1108,36121653,24125402,28071895,30492122
1,9,94.29,50.874,95.0102,44.132,34611954,25453796,25039798,31587017
1,10,109.073,51.425,114.497,44.7715,34601766,24550435,27322693,29003972
2,1,6.145,3.217,7.5071,7.115,50796467,26984681,37367654,34545548
2,2,2.477,2.651,3.93498,3.97561,46694016,25874830,29592184,30894922
2,3,2.382,2.376,2.31489,1.83471,53564124,29289403,40088600,39811509
2,4,2.188,2.734,2.12561,4.55089,48854664,26516419,36790516,31004192
2,5,1.973,2.476,1.80607,1.84256,53079097,26176498,36690659,32369198
2,6,2.186,2.448,4.86845,3.18385,50895430,27251455,39378232,34139237
2,7,2.074,2.484,1.70355,2.5844,54423152,25522934,44047360,31153696
2,8,1.946,2.506,1.6192,1.538,48882771,25057041,33836409,31392813
2,9,2.036,2.477,1.7162,2.451,49762797,27201523,39203032,34984234
2,10,2.362,2.58,4.41944,1.91369,51404598,25845058,40782827,34238351
3,1,680.248,312.87,540.56,262.68,54940598,27791698,38594714,34990864
3,2,466.847,312.975,429.28,258.5,64313424,26942160,46810224,33711429
3,3,434.751,311.236,348.25,258.78,66517248,26652850,46252102,33852767
3,4,444.166,306.914,351.52,256.8,65236336,26589292,47039589,33348584
3,5,409.181,309.149,341.15,258.89,64087543,26384245,47905422,32034634
3,6,400.075,307.44,332.92,256.38,61306173,27038547,49554449,33853279
3,7,392.061,305.946,333.04,255.25,65715247,25972303,47187107,34142981
3,8,395.096,309.873,334.96,263.5,65073372,23904778,43746638,30052023
3,9,403.778,307.776,337.59,261.49,62969283,26601680,37326763,33303222
3,10,400.299,308.972,333.76,279.66,61772722,25888341,44261836,32233584
4,1,2.939,1.839,3.6898,5.9005,305916193,6591229,209346845,8442340
4,2,0.272,0.247,0.9501,0.9234,292387603,7354866,222003721,9361383
4,3,0.176,0.247,0.2168,0.1058,330653334,6943980,251782740,8850582
4,4,0.181,0.218,0.2725,0.7007,277716454,6460873,186251320,7981347
4,5,0.208,0.233,0.2621,0.6885,305785645,7052098,234878346,7992196
4,6,0.162,0.222,0.2137,0.6707,314112290,6839742,232261064,8345318
4,7,0.175,0.22,0.2695,0.288,324946516,6476335,239596234,8091950
4,8,0.163,0.278,0.4775,0.3492,338994069,7189052,245421818,8665071
4,9,0.157,0.224,0.2009,0.359,327025229,6706738,260972804,8621876
4,10,0.338,0.233,0.9317,0.3353,307010447,7332812,239384869,8843584
5,1,70.887,50.574,48.7665,52.0976,306458674,12898565,232712701,14699102
5,2,36.215,35.463,29.5358,33.5439,277041190,14164306,223723584,18310562
5,3,36.578,35.833,30.8196,32.6747,316834722,13791834,238176188,17092029
5,4,35.888,36.409,29.4535,32.8675,293380106,13577913,222069439,16990125
5,5,36.239,37.851,29.8789,32.4173,285732231,12994214,221946842,15091981
5,6,36.69,37.193,30.1161,31.4223,286245246,14115530,210813775,17402087
5,7,36.109,36.248,29.3081,32.0715,294786336,13844591,203372894,17215508
5,8,36.213,36.38,29.5985,30.3109,289886345,13259874,242960153,16632957
5,9,36.538,36.461,31.561,31.452,329549122,13896639,262700350,18013829
5,10,43.918,35.471,41.9621,31.6811,285075467,12812073,195284604,15613919
6,1,1.854,3.08,3.6095,4.4576,134977616,12569252,94597641,15576162
6,2,1.2,0.96,2.8189,1.6229,134946905,13364354,94019885,17858841
6,3,1.013,0.802,1.6035,0.8927,134948403,13476270,90930509,16755124
6,4,0.786,0.849,1.162,0.726,135130823,13715828,103794507,18150718
6,5,0.692,0.804,0.8143,2.1806,131513188,13472194,108512407,15664892
6,6,0.727,1.068,0.6955,0.7947,130826969,14261567,100652627,17711801
6,7,0.703,0.81,0.611,0.7552,128948761,12562042,106764247,16493582
6,8,0.71,0.809,0.5595,0.8866,124730743,13810109,90939435,17760060
6,9,0.708,0.892,0.6102,0.9742,136215361,13580023,103952412,18025939
6,10,0.717,0.789,0.6538,0.9427,141390533,14339115,99492214,17672467
7,1,3600.0,465.293,"3,157.77","1,087.88",928766614,57409663,697572836,72201403
7,2,,447.316,nan ,729.771,928025254,57955629,745857635,65611208
7,3,,460.25,nan ,811.401,939583320,62077675,738208962,73258593
7,4,,458.662,nan ,785.058,932702058,59324872,747109886,75774081
7,5,,448.009,nan ,787.887,886130824,58789326,646533481,71676065
7,6,,451.747,nan ,717.095,1019853259,55940401,811428231,72353423
7,7,,441.961,nan ,890.638,975645928,57449698,802478997,70973305
7,8,,457.392,nan ,713.498,920718054,52339538,716482562,66893768
7,9,,456.513,nan ,764.282,968875830,54646453,659315029,66022670
7,10,,445.062,nan ,784.524,933760928,58898976,713502172,70553704
8,1,37.829,3.123,21.414,3.674,85099542,47973379,64864036,62614512
8,2,2.682,2.709,3.242,2.718,87574906,52902302,62738338,67671061
8,3,2.578,2.533,2.568,2.089,90107894,52704684,62936801,65936146
8,4,2.482,2.573,2.149,2.253,92544375,53682181,65649362,69406500
8,5,2.586,2.706,2.244,2.168,93337321,48191569,75364749,62436136
8,6,2.5,2.645,2.201,2.057,84939472,47310702,64269453,61888465
8,7,2.48,2.543,2.292,2.067,83860524,55579079,69901575,68591515
8,8,2.474,2.487,2.23,2.2093,86438002,52949241,57062128,64234186
8,9,2.5,2.574,2.175,2.104,86561623,53737638,66749790,67329253
8,10,2.5,2.905,2.825,3.2116,82852175,56914135,68767986,72182318
9,1,175.224,53.646,107.048,48.805,1612336958,54391121,1356893573,64401161
9,2,53.404,43.001,50.061,42.494,1731621953,48626848,1252038414,55390615
9,3,52.6,43.165,53.912,39.298,1800553735,53081004,1493679874,67461735
9,4,53.229,43.966,52.592,42.131,1645114828,56128869,1323819594,73650178
9,5,51.466,45.529,49.127,43.229,1610049852,52775473,1302718850,66331878
9,6,50.62,44.145,50.977,41.018,1640383330,53105853,1247847324,65725104
9,7,66.625,43.576,65.016,42.694,1581166336,52300560,1265736700,65886910
9,8,53.917,44.507,48.053,43.726,1641256862,57880003,1306041646,72995407
9,9,53.614,43.912,50.773,40.787,1699105729,57274526,1223152754,68714875
9,10,52.204,42.993,53.895,37.987,1657191668,49042985,1019009669,62005593
10,1,3600.0,3600.0,3234.78,3238.68,11006339964,15826653,8883244125,20732433
10,2,,,,,10444640268,13891433,8390493163,17652398
10,3,,,,,10615806381,15915780,8361285390,19790707
10,4,,,,,10289327504,13501370,7514162955,17395909
10,5,,,,,11048369681,15246695,8067571129,19533438
10,6,,,,,9732863631,14041469,6538806787,16839576
10,7,,,,,10209073799,14338222,8490711963,18867544
10,8,,,,,9758083567,15089006,7282955050,19493243
10,9,,,,,10794707140,13916307,8558229849,17644605
10,10,,,,,10807172143,14678561,7924538354,18704277
11,1,74.834,122.414,40.579,71.11,240278881,53458474,152127365,67471183
11,2,17.473,18.607,14.44,17.95,267087105,55785042,211112113,67712231
11,3,17.794,18.048,18.132,16.51,242973477,56246751,197214340,72167038
11,4,20.139,17.093,19.2284,15.739,229579550,57595508,193741215,72157491
11,5,18.411,17.323,16.0635,15.5306,243171505,53449012,181237896,69870719
11,6,21.19,17.702,22.5081,15.8412,251079069,53725029,182553533,65791411
11,7,18.191,17.52,15.238,16.1494,243748795,51152291,184900097,62022659
11,8,20.941,17.644,18.9492,16.6898,274577631,50630307,191903968,61104855
11,9,20.186,17.591,21.9515,16.5309,257187908,49171168,181857939,64070552
11,10,19.612,17.769,21.5612,16.9976,267989387,52053407,209424796,65002582
12,1,246.839,3.742,174.566,5.4056,1685838743,54337347,1245952045,66476152
12,2,136.12,2.591,125.246,2.8812,1443700511,53970221,1045655469,64085847
12,3,137.386,2.249,123.044,1.8289,1546811557,55461274,1191341821,76435640
12,4,152.715,2.212,143.193,1.7904,1361504907,50259706,998319417,63103418
12,5,138.037,2.228,124.733,1.8111,1525634947,58586450,1328904851,71430326
12,6,139.34,2.321,126.848,2.12,1664493196,54743621,1225001083,67179874
12,7,138.025,2.272,121.977,2.0194,1510120168,56862763,1250619089,74440670
12,8,135.813,2.312,120.761,2.1203,1526400247,54846433,1199081444,67801581
12,9,138.54,2.352,125.43,2.3129,1602299076,51552824,1280536910,61696521
12,10,135.842,2.478,121.725,3.447,1638653850,53037257,1259116529,66082704
13,1,30.038,,16.0632,,136385788,22178626,101351700,29546027
13,2,2.819,,3.8075,,137083566,26842475,102885880,35242985
13,3,2.76,,2.33473,,144476412,26466463,104059606,34847716
13,4,2.364,,2.0814,,140623591,28169288,108141669,34273573
13,5,2.681,,2.68803,,136878925,24226713,109360232,28547365
13,6,2.62,,2.44684,,141043258,26454141,88654524,32575173
13,7,2.585,,2.82756,,139388176,26152938,95753628,32156580
13,8,2.961,,3.98936,,140627578,24881078,97084030,31113273
13,9,2.69,,2.78567,,152754181,24608890,119556755,31899066
13,10,2.605,,2.49974,,136740612,24997512,106832994,30552109
14,1,20.542,80.577,23.5687,55.0741,413782173,12371093,301797351,14989467
14,2,20.214,19.042,24.3421,28.8169,455317097,12371923,375753235,14790261
14,3,19.883,18.759,21.5033,30.1136,410253845,10942117,299885032,14079129
14,4,19.744,20.554,20.1142,51.1416,461829062,11692743,358823474,14857859
14,5,20.211,19.234,22.0055,23.0474,421129908,12070127,332613185,15630696
14,6,23.235,19.445,29.2126,21.1511,426829173,11983033,316621318,14212049
14,7,20.537,18.753,22.6542,22.1115,440858233,10895819,353528055,13360103
14,8,20.021,20.123,22.2591,22.8356,451053426,11436322,329882627,15033370
14,9,20.545,19.216,24.8554,22.9541,446458266,10944599,334335127,13902845
14,10,20.486,19.462,26.5215,19.7445,420929237,12390267,317945804,16220316
15,1,0.919,0.644,2.608,1.3774,395306622,91607805,311339565,118932968
15,2,0.498,0.453,1.46,0.95,409680470,80883505,336614143,104081243
15,3,0.438,0.378,0.67424,0.46725,405396843,72386488,288566212,88271921
15,4,0.342,0.339,0.56624,1.56149,389752713,84404383,265311294,105027247
15,5,0.38,0.358,0.477629,0.368302,410954069,87397553,321754268,110636566
15,6,0.342,0.358,0.44626,0.36169,422700202,87080654,272596347,119080519
15,7,0.339,0.355,0.4482,0.39979,406036862,81753195,305450716,105224718
15,8,0.376,0.371,0.476457,0.407716,434174293,83233718,338100873,103650879
15,9,0.329,0.346,0.333549,0.315841,410945493,81470259,272064862,102596768
15,10,0.496,0.515,1.51025,0.775248,399547207,84007035,282773221,106828447
16,1,120.939,135.406,130.768,164.999,491965147,12346053,361273718,15314022
16,2,117.897,119.555,158.166,123.079,475803292,11346767,353957561,14599600
16,3,116.529,98.241,142.248,123.736,464270673,11445263,348024338,14937330
16,4,115.418,95.759,143.983,134.358,501175655,11589608,385796094,15915068
16,5,111.856,92.858,154.283,103.342,468628499,11655266,367606881,15459769
16,6,108.518,99.303,146.671,126.178,480742909,11904075,322456134,15068576
16,7,104.611,89.974,105.987,107.319,487329100,12450548,395816500,15181015
16,8,111.792,91.112,129.274,97.1785,498937988,11020749,366958056,13113467
16,9,112.717,106.343,130.288,116.533,500799550,12332547,365063226,16032578
16,10,117.805,96.639,162.769,106.918,490839481,11674892,395337218,15314636
17,1,62.315,4.859,43.884,3.845,14189254,454182,10257950,601822
17,2,42.708,4.839,40.521,4.239,15543664,519588,10974299,658021
17,3,35.029,5.007,29.252,4.179,15096873,522923,9895704,654569
17,4,35.02,4.962,29.402,3.983,15618459,544689,12696004,679160
17,5,41.814,4.799,39.084,4.187,16484383,545785,10890998,705223
17,6,35.253,4.691,30.743,4.472,16337924,529988,11176676,608241
17,7,35.305,5.092,30.982,4.743,15878924,508568,10218456,591731
17,8,34.617,4.944,29.196,5.248,16103071,555413,11754863,625686
17,9,34.779,4.794,29.48,3.91,14537060,512208,9544065,629130
17,10,34.771,4.829,29.909,4.649,15858928,498654,12824107,620410
18,1,21.945,22.792,26.7235,19.4475,422990008,78484903,302678128,102827702
18,2,20.329,20.503,22.255,20.28,395699828,78902041,273663080,98824618
18,3,20.604,19.824,18.1427,16.5398,418487786,80623051,321745741,102939600
18,4,20.905,19.878,21.46,17.67,402371457,79269565,280094682,98633062
18,5,24.491,20.372,23.0884,16.498,430701344,79608432,320304370,97574465
18,6,21.741,19.908,18.7684,18.8519,432914522,84092450,344378428,100522623
18,7,24.492,19.917,26.3207,17.5454,399213942,84314937,283355617,106475032
18,8,22.011,21.59,18.9746,19.4768,440185073,83246032,321965669,103935391
18,9,20.453,20.279,17.8567,16.623,406283484,79831120,289665268,95577225
18,10,23.068,19.935,24.3481,18.6398,452470470,78380444,332284173,95792957
19,1,1173.752,942.042,979.394,852.361,1694821303,53290915,1530274841,63769070
19,2,1036.353,931.014,924.795,849.525,1743064619,53520270,1121486358,64628077
19,3,1041.973,989.492,901.608,869.69,1756046812,56184090,1397219320,73727974
19,4,1052.535,1033.141,923.912,873.709,1672299335,53160321,1259110400,67452043
19,5,1028.936,1006.531,884.644,861.04,1587631143,50668052,1135441193,64672113
19,6,1016.424,997.507,866.497,869.274,1668059086,51658615,1335897291,62125385
19,7,1018.776,1044.041,875.779,805.053,1831317837,58671595,1488026462,71659372
19,8,1015.381,1029.371,925.656,801.453,1708972373,51401474,1204905570,67394091
19,9,1027.951,1000.465,888.618,802.436,1709142651,50508802,1274383816,61415101
19,10,1022.785,985.663,901.527,797.107,1869299822,53129449,1345023539,64759371
20,1,926.709,50.113,835.728,85.61,529864659,45132770,409371969,57923952
20,2,615.409,24.371,690.534,91.787,535262465,41680315,406257799,54555313
20,3,607.594,23.649,687.169,55.345,539066808,42087253,403851017,55209428
20,4,604.377,25.813,678.788,96.789,493642658,38210481,380890769,48189128
20,5,602.023,23.596,658.403,53.338,520328958,38371707,403572211,46780769
20,6,607.194,24.843,682.964,74.266,520988026,41475378,429498676,52595582
20,7,597.014,24.517,666.524,84.818,512996608,40531202,362668910,51705328
20,8,610.358,24.097,686.025,68.035,488843573,42288457,365073445,52404638
20,9,609.463,23.937,692.946,72.79,529095259,39193744,461634778,48540479
20,10,604.398,23.508,674.121,54.227,474224237,43664334,340602275,56250707
21,1,23.779,20.722,43.597,9.111,544379290,42970509,441858007,57941024
21,2,2.15,1.225,3.058,1.332,548026831,37126997,384257248,43303136
21,3,2.114,1.152,2.778,1.004,559369837,40732526,439910866,51003404
21,4,2.266,1.279,4.246,2.864,595158104,39677530,441261427,46467854
21,5,2.542,1.125,11.934,0.91,618448807,43141793,476585907,54088042
21,6,2.174,1.131,2.483,0.986,620322569,40693679,456274738,50244004
21,7,3.361,1.204,29.062,1.366,594163373,42157228,484224852,56998008
21,8,2.008,1.151,1.858,0.936,583695379,40085865,436745647,51197562
21,9,2.098,1.107,3.739,0.957,504414346,40871456,374152791,48921298
21,10,2.005,1.463,1.64,3.301,603411836,44530493,467015779,59143672
22,1,3600.0,683.124,"3,378.77","1,801.30",669793117,42739524,478691650,50131623
22,2,,652.093,,"1,548.43",605383720,35435445,383294121,45530446
22,3,,661.761,,"1,473.58",598906371,39457800,404264748,52910735
22,4,,657.659,,"1,437.34",612659717,39186850,437558926,49781831
22,5,,663.511,,"1,663.54",613545695,36640885,512968203,47140935
22,6,,661.071,,"1,513.89",595972434,37232868,514998455,47570054
22,7,,685.417,,"1,533.71",580914494,39077756,396684431,48628388
22,8,,678.325,,"1,486.30",602686746,40570526,456990760,51346433
22,9,,661.133,,"1,670.22",551375528,39732458,394849169,46738236
22,10,,655.47,,"1,477.70",536261198,37909054,409048520,48524539
23,1,1.254,0.871,1.253,0.781,661143639,37944869,453499522,46180672
23,2,0.791,0.803,0.66,0.644,604843666,35876955,464601814,46425677
23,3,0.797,0.806,0.818,0.997,641180728,43156451,455360496,53323296
23,4,0.806,0.757,0.72,0.6,667137477,38955498,460677621,48555996
23,5,0.882,0.777,0.817,0.806,656790116,38349053,471104076,47590126
23,6,0.788,0.756,0.766,0.797,601893059,40747417,390815672,49349101
23,7,0.771,0.766,0.636,0.619,629072630,39898869,493114160,50999511
23,8,0.746,0.744,0.687,0.631,582929524,40037590,412265227,49595837
23,9,0.751,0.753,0.566,0.658,615784501,41387636,507987572,49641552
23,10,0.744,0.9,0.57,0.172,651396480,39096805,515928645,48033240
24,1,427.519,354.768,263.105,218.484,638543281,40927871,518492602,50850880
24,2,130.424,84.013,169.948,81.501,546631818,42905200,399012490,54547985
24,3,113.27,81.606,164.384,82.061,565760865,43354888,462105201,54689866
24,4,115.223,77.958,142.404,77.171,611970971,40861445,499699271,50172753
24,5,114.948,79.882,189.579,78.854,680020981,40825366,496903013,51647233
24,6,119.721,77.568,212.696,76.987,643868475,40950142,485425023,55817768
24,7,113.979,79.72,180.324,80.439,642025648,44975890,528708802,55651993
24,8,108.379,79.431,129.783,83.026,595574481,46204421,451920702,51273609
24,9,110.811,77.756,109.088,81.766,642190082,45964736,459163876,54860504
24,10,110.793,78.137,108.334,78.653,564998742,41240231,454954096,50224636
25,1,20.736,1.465,21.509,3.252,738767886,37652226,599606827,49314437
25,2,9.225,0.395,9.088,1.102,769180598,36514224,542951365,47898164
25,3,9.297,0.373,8.519,0.987,696660475,42587054,538530750,52209738
25,4,10.837,0.387,11.749,0.678,765736075,38060755,575769255,48012845
25,5,9.546,0.351,8.834,0.428,700208418,38931895,565548865,48471916
25,6,9.067,0.366,8.301,0.385,731705646,38076931,522116442,45222589
25,7,8.987,0.361,8.085,0.697,721416455,39331763,589653731,49342538
25,8,10.456,0.394,10.396,0.933,729762388,36960047,582057085,46885035
25,9,10.354,0.363,10.777,0.845,781808736,37795232,572271529,45234718
25,10,10.477,0.348,9.495,0.518,758357047,37226271,548458240,46977908
